publishedAt,title,url
2024-03-12T03:00:43Z,「俺はフェラーリだ！」と思い込むだけで走るのが速くなると判明 - ナゾロジー,https://nazology.net/archives/146851
2024-03-12T02:00:00Z,東レ理科教育賞 鳴海さん（大鰐中教頭）本賞 - 東奥日報,https://www.toonippo.co.jp/articles/-/1740029
2024-03-12T01:25:50Z,老婆は何者？【心理テスト】あなたがやりがちなメンタル回復法を診断｜ニフティニュース - ニフティニュース,https://news.nifty.com/topics/12353/240312738382/
2024-03-11T22:00:20Z,”中年太り”の仕組みを解明！「太ってるぞ！」体の警報を受け取る脳のアンテナが摩耗していた - ナゾロジー,https://nazology.net/archives/146765
2024-03-11T22:00:00Z,世界に衝撃を与えた「室温超伝導」の論文を巡る一大スキャンダルの内幕についての詳細レポートをNatureが報告 - GIGAZINE（ギガジン）,https://gigazine.net/news/20240312-superconductivity-scandal-ranga-dias/
2024-03-11T20:00:00Z,気候変動、写真集めてウォッチ オーストラリアで注目「市民科学」 - 日本経済新聞,https://www.nikkei.com/article/DGXZQOGM080CQ0Y4A300C2000000/
2024-03-11T16:39:00Z,ISS長期滞在の古川聡さん地球帰還へ きょう午後7時前に帰還予定 - au Webポータル,https://article.auone.jp/detail/1/2/4/394_8_r_20240312_1710175182651609
2024-03-11T14:20:11Z,ISSの古川宇宙飛行士 地球に帰還する宇宙船に搭乗 | NHK - nhk.or.jp,https://www3.nhk.or.jp/news/html/20240311/k10014387321000.html
2024-03-11T13:36:49Z,摂氏1700度以上の海王星型惑星「LTT 9779 b」【今日の宇宙画像】 - sorae 宇宙へのポータルサイト,https://sorae.info/newslink/20240311-sapod
2024-03-11T11:28:56Z,どのライトに惹かれる？【心理テスト】あなたの好奇心の種類を診断！｜ニフティニュース - ニフティニュース,https://news.nifty.com/topics/12353/240311738257/
2024-03-11T10:00:00Z,本当に可能か？「2050年に脱炭素」を達成するため必要な「2035年」までの戦略【短期集中連載：第五回 クルマ界はどこへ向かうのか】 - 自動車情報誌「ベストカー」 - BestCarWeb,https://bestcarweb.jp/news/business/820100
2024-03-11T08:00:49Z,イモリの形成不全の足を切ったら、なぜか健康な足が生えてきた！「超再生現象」を発見 - ナゾロジー,https://nazology.net/archives/146735
2024-03-11T08:00:00Z,木星の衛星エウロパを調査する探査機「エウロパ・クリッパー」に搭載されるプレートに何が刻まれているのかNASAが解説 - GIGAZINE（ギガジン）,https://gigazine.net/news/20240311-nasa-message-heading-jupiters-moon-europa/
2024-03-11T05:23:16Z,2023年度「大隅良典基礎研究賞」を3人が受賞 - 東京工業大学,https://www.titech.ac.jp/news/2024/068629
2024-03-11T05:04:23Z,【心理テスト】あなたのコミュニケーション能力は高い？低い？周りからどう思われている？ - Lifehacker JAPAN,https://www.lifehacker.jp/article/2403_psychological_test_communication_q/
2024-03-11T05:00:00Z,AIを生物兵器開発に使うのを防ぐ誓約書に130人以上の科学者が署名、AIによるタンパク質設計の利益を最大化しリスクを最小限に抑える - GIGAZINE（ギガジン）,https://gigazine.net/news/20240311-responsible-ai-biodesign/
2024-03-11T03:26:28Z,これが何に見える？【心理テスト】ワルへの憧れ度診断！｜ニフティニュース - ニフティニュース,https://news.nifty.com/topics/12353/240311738146/
2024-03-11T03:17:06Z,問われる「除染土」の行方 「極めて非科学的」自宅が“中間貯蔵施設”に 福島・大熊町出身の男性が明かす危機感 【つなぐ、つながる】 | TBS NEWS DIG - TBS NEWS DIG Powered by JNN,https://newsdig.tbs.co.jp/articles/-/1046262
2024-03-11T03:00:57Z,白黒模様が薄くなった「茶色のジャイアントパンダ」の毛色の原因を特定 - ナゾロジー,https://nazology.net/archives/146766
2024-03-11T01:00:03Z,【心理テスト】3/11は《おうえんの日》！あなたの「心を支える言葉」を読み取ります… - 笑うメディア クレイジー,https://curazy.com/archives/604837
